Palestine,15000000000,5100000,2940
Panama,66600000000,4300000,15490
Papua New Guinea,24000000000,9200000,2610
Paraguay,42400000000,7200000,5890
Peru,229000000000,33300000,6880
Philippines,367000000000,110000000,3340
Poland,595000000000,38000000,15660
Portugal,235000000000,10200000,23040
Puerto Rico,131000000000,2900000,45170
Qatar,166000000000,313000,530350
Reunion,20339000000,900000,22600
Romania,250000000000,19600000,12760
Russia,1680000000000,145000000,11590
Rwanda,10000000000,13200000,760
Saint Helena,39000000,6000,6500
Saint Kitts and Nevis,932000000,53000,17580
Saint Lucia,1900000000,184000,10330
Saint Pierre and Miquelon,261300000,6000,43550
Saint Vincent and the Grenadines,815000000,110000,7410
Samoa,900000000,200000,4500
Sao Tome and Principe,450000000,220000,2050
Saudi Arabia,792000000000,35100000,22560
Senegal,25000000000,17200000,1450
Serbia,51700000000,6900000,7490
Seychelles,1400000000,98000,14290
Sierra Leone,4600000000,8100000,570
Singapore,487000000000,5800000,83970
Slovakia,106000000000,5450000,19450
Slovenia,65000000000,2100000,30950
Solomon Islands,1350000000,670000,2010
Somalia,1800000000,15893000,110
South Africa,351000000000,60000000,5850
South Korea,1690000000000,51700000,32690
South Sudan,12700000000,11000000,1150
Spain,1410000000000,47000000,30000
Sri Lanka,87100000000,21300000,4090
Sudan,117000000000,44500000,2630
Suriname,4200000000,590000,7120
Swaziland,4900000000,1200000,4080
Sweden,530000000000,10100000,52480
Switzerland,705000000000,8600000,81980
Syria,50000000000,17500000,2860
Taiwan,650000000000,23500000,27660
Tajikistan,8700000000,9100000,960
Tanzania,64000000000,58000000,1100
Thailand,544000000000,69000000,7880
Togo,5760000000,8100000,710
Tonga,450000000,110000,4090
Trinidad and Tobago,23000000000,1390000,16550
Tunisia,40000000000,11800000,3390
Turkey,761000000000,84100000,9050
Turkmenistan,42700000000,6100000,7000
Turks and Caicos Islands,1139000000,38000,29970
Tuvalu,43000000,12000,3580
Uganda,34000000000,45800000,740
Ukraine,153000000000,41800000,3660
United Arab Emirates,421000000000,9890000,42570
United Kingdom,2970000000000,66000000,45000
United States,21430000000000,331000000,64740
Uruguay,59500000000,3500000,17000
Uzbekistan,57000000000,34500000,1650
Vanuatu,880000000,310000,2840
Venezuela,65000000000,28800000,2260
Vietnam,262000000000,98100000,2670
Virgin Islands,4444000000,107000,41530
Wallis and Futuna,111100000,11000,10100
West Bank,15000000000,2930000,5120
Western Sahara,908900000,600000,1510
Yemen,26900000000,29100000,920
Zambia,23000000000,18300000,1260
Zimbabwe,21000000000,14800000,1420
