Countries,Average GDP per Capita,Connections
Argentina + United Arab Emirates,26240,6
Serbia + United Arab Emirates,25030,6
Ukraine + United Arab Emirates,23115,6
Romania + United Arab Emirates,27665,6
Sri Lanka + United Arab Emirates,23330,6
Malta + United Arab Emirates,36765,6
Maldives + United Arab Emirates,26190,6
Brazil + Nigeria,5385,6
Brazil + Saudi Arabia,15575,6
Brazil + South Korea,20640,6
Brazil + Israel,26035,6
Brazil + India,5355,6
Angola + Brazil,5640,6
Belarus + Brazil,7630,6
Nigeria + Sierra Leone,1375,6
Canada + Nigeria,23855,6
Germany + Nigeria,24285,6
Netherlands + Nigeria,27670,6
Nigeria + Portugal,12610,6
Denmark + Nigeria,31605,6
Equatorial Guinea + Nigeria,6020,6
Liberia + Morocco,1945,6
Gambia + Morocco,1840,6
Guinea + Morocco,2035,6
Belgium + Cameroon,23850,6
Canada + Guatemala,25015,6
Canada + Hungary,31465,6
Canada + Tunisia,24460,6
Canada + Georgia,24980,6
Canada + Moldova,25010,6
Bulgaria + Canada,27620,6
Canada + Malta,38245,6
Canada + Lebanon,26980,6
Kenya + Saudi Arabia,12160,6
Austria + Saudi Arabia,36840,6
Saudi Arabia + Tunisia,12975,6
Saudi Arabia + South Africa,14205,6
Latvia + Saudi Arabia,20490,6
Kenya + Singapore,42865,6
Japan + Kenya,20990,6
Kenya + Morocco,2490,6
Kenya + Turkey,5405,6
Kenya + South Korea,17225,6
Algeria + Kenya,2875,6
Ireland + Kenya,39610,6
Kenya + Portugal,12400,6
Belgium + Thailand,26985,6
Algeria + Thailand,5935,6
Maldives + Thailand,8845,6
Singapore + Turkey,46510,6
Singapore + South Africa,44910,6
Maldives + Singapore,46890,6
Australia + Burma,28145,6
Australia + Vietnam,28785,6
Australia + Austria,53010,6
China + Croatia,12620,6
China + Dominican Republic,9085,6
Argentina + China,9975,6
China + Tunisia,6715,6
China + Libya,8645,6
China + Moldova,7265,6
Bulgaria + China,9875,6
China + Malta,20500,6
Angola + China,6365,6
China + Mauritius,10770,6
China + Maldives,9925,6
Hong Kong + Mauritius,29885,6
Japan + Morocco,21720,6
Algeria + Japan,22105,6
Greece + Japan,30295,6
Japan + Portugal,31630,6
Japan + Jordan,22300,6
Japan + Sri Lanka,22155,6
Morocco + Taiwan,15440,6
Belgium + Taiwan,36875,6
Taiwan + Turkey,18355,6
Mexico + Taiwan,18445,6
Algeria + Taiwan,15825,6
Portugal + Taiwan,25350,6
Jordan + Taiwan,16020,6
Qatar + Taiwan,279005,6
Malaysia + Morocco,7175,6
Denmark + Malaysia,36080,6
Kuwait + Malaysia,22385,6
Malaysia + Qatar,270740,6
Burma + Cambodia,1505,6
Cambodia + Vietnam,2145,6
Cambodia + India,1870,6
Brunei + Vietnam,16220,6
Germany + Martinique,35305,6
Germany + Puerto Rico,45780,6
Germany + Maldives,28100,6
Croatia + Morocco,9210,6
Belgium + Croatia,30645,6
Croatia + Turkey,12125,6
Croatia + Israel,29340,6
Austria + Bangladesh,26605,6
Austria + Romania,31940,6
Bahamas + Panama,23265,6
Argentina + Netherlands,31535,6
Netherlands + Panama,34325,6
Brunei + Netherlands,41465,6
Georgia + Netherlands,28795,6
Netherlands + Qatar,291755,6
Mauritius + Netherlands,32330,6
Maldives + Netherlands,31485,6
Morocco + South Korea,17955,6
Argentina + Morocco,6565,6
Morocco + Serbia,5355,6
Morocco + Ukraine,3440,6
Kuwait + Morocco,18430,6
Bulgaria + Morocco,6465,6
Malta + Morocco,17090,6
Lebanon + Morocco,5825,6
Congo (Brazzaville) + Morocco,2650,6
Gabon + Morocco,5440,6
Equatorial Guinea + Morocco,6540,6
Belgium + Dominican Republic,27110,6
Belgium + Cuba,27470,6
Belgium + Tunisia,24740,6
Belgium + Ukraine,24875,6
Belgium + Malta,38525,6
Belgium + Lebanon,27260,6
Bangladesh + Turkey,5570,6
Mexico + Turkey,9140,6
Serbia + Turkey,8270,6
Qatar + Turkey,269700,6
Aruba + Dominican Republic,20785,6
Aruba + Puerto Rico,39305,6
Puerto Rico + Venezuela,23715,6
Antigua and Barbuda + Barbados,18780,6
Guadeloupe + Martinique,23460,6
Martinique + Panama,19855,6
Dominican Republic + Ireland,42795,6
Denmark + Dominican Republic,34580,6
Dominican Republic + Trinidad and Tobago,12340,6
Saint Lucia + Trinidad and Tobago,13440,6
Algeria + South Korea,18340,6
Greece + South Korea,26530,6
Portugal + South Korea,27865,6
Jordan + South Korea,18535,6
South Korea + Sri Lanka,18390,6
Israel + Ukraine,23570,6
Israel + Romania,28120,6
Israel + Malta,37220,6
Israel + Lithuania,31385,6
Bangladesh + Kuwait,17865,6
Bangladesh + Sri Lanka,3090,6
Bangladesh + Qatar,266220,6
Czech Republic + India,12650,6
India + Indonesia,3015,6
India + Libya,4685,6
Angola + India,2405,6
India + Mauritius,6810,6
Argentina + Costa Rica,10945,6
Argentina + Bolivia,6730,6
Argentina + El Salvador,7065,6
Greece + Mexico,14800,6
Mexico + Portugal,16135,6
Mexico + Uruguay,13115,6
Belize + Mexico,6820,6
Jamaica + Mexico,7190,6
Mexico + Trinidad and Tobago,12890,6
Jordan + Mexico,6805,6
Belize + Guatemala,4455,6
Algeria + Cuba,6420,6
Chile + Cuba,12960,6
Cuba + Jamaica,7000,6
Cuba + Puerto Rico,27010,6
Chile + Costa Rica,14525,6
Hungary + Serbia,12445,6
Portugal + Serbia,15265,6
Czech Republic + Serbia,15335,6
Poland + Serbia,11575,6
Belarus + Serbia,7080,6
Algeria + Czech Republic,13585,6
Algeria + Lebanon,6210,6
Hungary + Malta,24180,6
Ireland + Romania,45110,6
Ireland + Lithuania,48375,6
Portugal + Tunisia,13215,6
Portugal + South Africa,14445,6
Portugal + Ukraine,13350,6
Angola + Portugal,12865,6
Lithuania + Portugal,21165,6
Lebanon + Portugal,15735,6
Czech Republic + Georgia,13805,6
Libya + Tunisia,5320,6
Jordan + Tunisia,3885,6
Georgia + Poland,10045,6
Jordan + Poland,10020,6
Bolivia + Panama,9520,6
Brunei + Indonesia,16840,6
Chile + El Salvador,10645,6
Belize + Honduras,3415,6
Denmark + South Africa,33440,6
South Africa + Zambia,3555,6
Latvia + Qatar,274385,6
Belarus + Kazakhstan,7810,6
Moldova + Ukraine,4075,6
Malta + Ukraine,17310,6
Belarus + Ukraine,5165,6
Jordan + Libya,5815,6
Belarus + Jordan,5525,6
Bulgaria + Romania,11235,6
Belarus + Qatar,268510,6
Bulgaria + Malta,20335,6
Belarus + Bulgaria,8190,6
Ghana + Russia,6885,5
Russia + Senegal,6520,5
Australia + Russia,33245,5
Russia + Vietnam,7130,5
Croatia + Russia,13395,5
Dominican Republic + Russia,9860,5
Argentina + Russia,10750,5
Cuba + Russia,10220,5
Russia + Serbia,9540,5
Armenia + Russia,8015,5
Iran + Russia,8495,5
Lithuania + Russia,15440,5
Maldives + Russia,10700,5
Azerbaijan + Cyprus,13835,5
Azerbaijan + Norway,39245,5
Azerbaijan + United States,34370,5
Azerbaijan + Hong Kong,26135,5
Algeria + Azerbaijan,3995,5
Azerbaijan + Greece,12185,5
Azerbaijan + Hungary,10700,5
Azerbaijan + Denmark,32515,5
Armenia + Azerbaijan,4220,5
Azerbaijan + Latvia,11210,5
Azerbaijan + Kazakhstan,6475,5
Azerbaijan + Ukraine,3830,5
Azerbaijan + Moldova,4245,5
Peru + United Arab Emirates,24725,5
China + Peru,8460,5
Morocco + Peru,5050,5
Paraguay + Peru,6385,5
Honduras + Peru,4650,5
Peru + Puerto Rico,26025,5
Cote d'Ivoire + Togo,1680,5
Cote d'Ivoire + Italy,17990,5
Cote d'Ivoire + Spain,16325,5
Cote d'Ivoire + United States,33695,5
Cote d'Ivoire + Sierra Leone,1610,5
Cameroon + Cote d'Ivoire,2130,5
Burkina Faso + Togo,715,5
Burkina Faso + Italy,17025,5
Burkina Faso + United Kingdom,22860,5
Burkina Faso + Spain,15360,5
Burkina Faso + United States,32730,5
Burkina Faso + Sierra Leone,645,5
Burkina Faso + Cameroon,1165,5
Ghana + Mali,1540,5
Ghana + Switzerland,42080,5
Ghana + Sweden,27330,5
Brazil + Ghana,5385,5
Ghana + Liberia,1425,5
Canada + Ghana,23855,5
Germany + Ghana,24285,5
Ghana + Netherlands,27670,5
Ghana + Portugal,12610,5
Denmark + Ghana,31605,5
Mali + United Arab Emirates,21735,5
Mali + Nigeria,1540,5
Cameroon + Mali,1255,5
Senegal + Togo,1080,5
Senegal + Sweden,26965,5
Brazil + Senegal,5020,5
Guinea-Bissau + Senegal,1075,5
China + Senegal,5745,5
Greece + Senegal,10910,5
Ireland + Senegal,39455,5
Benin + United States,32805,5
Benin + United Arab Emirates,21720,5
Benin + Equatorial Guinea,5365,5
Morocco + Togo,1965,5
Colombia + Switzerland,44175,5
Belgium + Colombia,26230,5
Colombia + Ireland,41915,5
Colombia + Denmark,33700,5
Brazil + Ecuador,7335,5
Ecuador + Venezuela,4170,5
Argentina + Ecuador,7995,5
Ecuador + Guatemala,5290,5
Chile + Ecuador,11575,5
Italy + Philippines,18335,5
Antigua and Barbuda + Italy,26195,5
Italy + Martinique,28775,5
Chile + Italy,25200,5
Italy + Jamaica,19240,5
Italy + Trinidad and Tobago,24940,5
Iran + Italy,19365,5
Italy + Mauritius,22415,5
Australia + Switzerland,68440,5
Argentina + Switzerland,45945,5
Cuba + Switzerland,45415,5
Kuwait + Switzerland,57810,5
Mauritius + Switzerland,46740,5
Maldives + Switzerland,45895,5
France + Liberia,20560,5
France + Guinea,20650,5
Bahamas + France,35745,5
France + Haiti,20685,5
France + Tajikistan,20705,5
Bolivia + France,22000,5
Barbados + France,29475,5
France + Gabon,24055,5
Equatorial Guinea + France,25155,5
France + Zambia,20855,5
Liberia + United Kingdom,22835,5
Bahamas + United Kingdom,38020,5
Saint Lucia + United Kingdom,27665,5
Indonesia + United Kingdom,24455,5
Chile + United Kingdom,31035,5
Armenia + United Kingdom,24720,5
Uganda + United Kingdom,22870,5
Congo (Kinshasa) + United Kingdom,22765,5
United Kingdom + Zambia,23130,5
Sierra Leone + Spain,15285,5
Singapore + Spain,56985,5
Malaysia + Spain,20565,5
Antigua and Barbuda + Spain,24530,5
Martinique + Spain,27110,5
Bangladesh + Spain,16045,5
South Africa + Spain,17925,5
Jamaica + Spain,17575,5
Libya + Spain,18625,5
Romania + Spain,21380,5
El Salvador + Spain,17110,5
Cyprus + Kenya,12715,5
Cyprus + Taiwan,25665,5
Cyprus + Malaysia,17400,5
Croatia + Cyprus,19435,5
Cyprus + Jordan,14025,5
Cyprus + Qatar,277010,5
Bulgaria + Cyprus,16690,5
Cyprus + Lithuania,21480,5
Egypt + Nigeria,2830,5
Egypt + Thailand,5680,5
Egypt + Singapore,43725,5
Egypt + Taiwan,15570,5
Egypt + Mexico,6355,5
Egypt + Serbia,5485,5
Egypt + Hungary,10440,5
Egypt + South Africa,4665,5
Egypt + Georgia,3955,5
Egypt + Ukraine,3570,5
Egypt + Moldova,3985,5
Egypt + Romania,8120,5
Egypt + Kuwait,18560,5
Bulgaria + Egypt,6595,5
Angola + Egypt,3085,5
Egypt + Mauritius,7490,5
Egypt + Maldives,6645,5
Dominican Republic + Sweden,30305,5
Bangladesh + Sweden,27285,5
Argentina + Sweden,31195,5
Sweden + Tunisia,27935,5
Burma + Finland,25650,5
Dominican Republic + Finland,29020,5
Argentina + Finland,29910,5
Cuba + Finland,29380,5
Finland + Romania,31335,5
Angola + Finland,26300,5
Finland + Maldives,29860,5
Nigeria + Norway,38335,5
Kenya + Norway,38125,5
Malaysia + Norway,42810,5
Dominican Republic + Norway,41310,5
Argentina + Norway,42200,5
Cuba + Norway,41670,5
Norway + Tunisia,38940,5
Lebanon + Norway,41460,5
Sierra Leone + United States,32655,5
Cameroon + United States,33175,5
Paraguay + United States,35315,5
Haiti + United States,32830,5
Libya + United States,35995,5
Romania + United States,38750,5
Kuwait + United States,49190,5
New Zealand + United States,52565,5
Lebanon + United States,36585,5
Macau + Philippines,5965,5
Sierra Leone + United Arab Emirates,21570,5
Cameroon + United Arab Emirates,22090,5
Panama + United Arab Emirates,29030,5
Macau + United Arab Emirates,25580,5
Tajikistan + United Arab Emirates,21765,5
Kazakhstan + United Arab Emirates,25760,5
Iran + United Arab Emirates,23985,5
Lithuania + United Arab Emirates,30930,5
Congo (Kinshasa) + United Arab Emirates,21550,5
United Arab Emirates + Zimbabwe,21995,5
Mauritius + United Arab Emirates,27035,5
Brazil + Taiwan,18125,5
Aruba + Brazil,21015,5
Antigua and Barbuda + Brazil,13825,5
Brazil + Czech Republic,15885,5
Brazil + Tunisia,5990,5
Brazil + Uruguay,12795,5
Brazil + Paraguay,7240,5
Brazil + South Africa,7220,5
Brazil + Latvia,13505,5
Brazil + Jamaica,6870,5
Brazil + Trinidad and Tobago,12570,5
Brazil + Puerto Rico,26880,5
Brazil + Qatar,269470,5
Bolivia + Brazil,6070,5
Brazil + Lebanon,8510,5
Nigeria + Saudi Arabia,12370,5
China + Nigeria,6110,5
Hong Kong + Nigeria,25225,5
Japan + Nigeria,21200,5
Nigeria + Turkey,5615,5
Nigeria + South Korea,17435,5
India + Nigeria,2150,5
Greece + Nigeria,11275,5
Ireland + Nigeria,39820,5
Jordan + Nigeria,3280,5
Lebanon + Nigeria,5305,5
Gabon + Nigeria,4920,5
Belgium + Sierra Leone,23330,5
Algeria + Sierra Leone,2280,5
Guinea-Bissau + Morocco,1960,5
Cameroon + Congo (Kinshasa),1070,5
Cameroon + Gabon,4635,5
Cameroon + Equatorial Guinea,5735,5
Canada + Croatia,30365,5
Aruba + Canada,39485,5
Bangladesh + Canada,23810,5
Canada + Uruguay,31265,5
Canada + Honduras,23975,5
Canada + Ukraine,24595,5
Canada + Maldives,27670,5
Australia + Saudi Arabia,38730,5
Saudi Arabia + Vietnam,12615,5
Israel + Saudi Arabia,33020,5
Czech Republic + Saudi Arabia,22870,5
Poland + Saudi Arabia,19110,5
Saudi Arabia + Ukraine,13110,5
Moldova + Saudi Arabia,13525,5
Lebanon + Saudi Arabia,15495,5
Mauritius + Saudi Arabia,17030,5
Maldives + Saudi Arabia,16185,5
Bangladesh + Kenya,1925,5
Greece + Kenya,11065,5
Kenya + Poland,8710,5
Kenya + Tanzania,1430,5
Kenya + Latvia,10090,5
Kenya + Uganda,1250,5
Kenya + Mauritius,6630,5
Kenya + Zambia,1510,5
Kenya + Maldives,5785,5
Belarus + Kenya,4215,5
Croatia + Thailand,11540,5
Israel + Thailand,25680,5
Hungary + Thailand,12640,5
Macau + Thailand,8235,5
Georgia + Thailand,6155,5
Kuwait + Thailand,20760,5
Sri Lanka + Thailand,5985,5
Qatar + Thailand,269115,5
Malta + Thailand,19420,5
Belgium + Singapore,65030,5
Poland + Singapore,49815,5
Macau + Singapore,46280,5
Denmark + Singapore,72500,5
Australia + South Africa,30375,5
Australia + Sri Lanka,29495,5
China + Serbia,8765,5
China + Panama,12765,5
China + Macau,9315,5
China + Iran,7720,5
China + Ukraine,6850,5
China + Lebanon,9235,5
China + Zambia,5650,5
Dominican Republic + Hong Kong,28200,5
Cuba + Hong Kong,28560,5
Hong Kong + Hungary,32835,5
Hong Kong + Tunisia,25830,5
Hong Kong + Macau,28430,5
Georgia + Hong Kong,26350,5
Hong Kong + Moldova,26380,5
Bulgaria + Hong Kong,28990,5
Angola + Hong Kong,25480,5
Hong Kong + Maldives,29040,5
Argentina + Japan,25065,5
Czech Republic + Japan,31700,5
Japan + Macau,24405,5
Japan + Qatar,285285,5
Japan + Maldives,25015,5
Belarus + Japan,23445,5
Israel + Taiwan,35570,5
Greece + Taiwan,24015,5
Poland + Taiwan,21660,5
Macau + Taiwan,18125,5
Sri Lanka + Taiwan,15875,5
Maldives + Taiwan,18735,5
Belarus + Taiwan,17165,5
Belgium + Malaysia,28610,5
Malaysia + Mexico,10180,5
Algeria + Malaysia,7560,5
Ireland + Malaysia,44295,5
Malaysia + Portugal,17085,5
Malaysia + Poland,13395,5
Macau + Malaysia,9860,5
Malaysia + Sri Lanka,7610,5
Malaysia + Mauritius,11315,5
Belarus + Malaysia,8900,5
Cambodia + Indonesia,2765,5
Cambodia + Macau,5105,5
Burma + Vietnam,2030,5
Burma + Netherlands,27275,5
Austria + Vietnam,26895,5
Bangladesh + Vietnam,2380,5
Bahamas + Germany,38715,5
Aruba + Germany,39915,5
Germany + Saint Lucia,28360,5
Costa Rica + Germany,29185,5
Germany + Tanzania,23745,5
Brunei + Germany,38080,5
Germany + Indonesia,25150,5
Chile + Germany,31730,5
Germany + Tajikistan,23675,5
Germany + Sri Lanka,25240,5
El Salvador + Germany,25305,5
Germany + Mauritius,28945,5
Croatia + Lithuania,17245,5
Belarus + Croatia,10935,5
Austria + Dominican Republic,29625,5
Austria + Cuba,29985,5
Austria + Tunisia,27255,5
Austria + South Africa,28485,5
Austria + Libya,29185,5
Angola + Austria,26905,5
Austria + Mauritius,31310,5
Austria + Maldives,30465,5
Bahamas + Mexico,20135,5
Bahamas + Cuba,19945,5
Bahamas + Trinidad and Tobago,23795,5
Netherlands + Venezuela,27710,5
Cuba + Netherlands,31005,5
Netherlands + Serbia,30325,5
Netherlands + Tunisia,28275,5
Indonesia + Netherlands,28535,5
Chile + Netherlands,35115,5
Jamaica + Netherlands,29155,5
Netherlands + Trinidad and Tobago,34855,5
Libya + Netherlands,30205,5
Netherlands + Romania,32960,5
Kuwait + Netherlands,43400,5
Netherlands + Sri Lanka,28625,5
El Salvador + Netherlands,28690,5
Morocco + Panama,9355,5
Lithuania + Morocco,11255,5
Argentina + Belgium,28000,5
Belgium + Libya,26670,5
Belgium + Romania,29425,5
Belgium + Congo (Kinshasa),23310,5
Belgium + Mauritius,28795,5
Cuba + Turkey,8950,5
South Africa + Turkey,7450,5
Tajikistan + Turkey,5005,5
Kazakhstan + Turkey,9000,5
Iran + Turkey,7225,5
Kuwait + Turkey,21345,5
Angola + Turkey,5870,5
Lithuania + Turkey,14170,5
Mauritius + Turkey,10275,5
Maldives + Turkey,9430,5
Aruba + Venezuela,17850,5
Argentina + Aruba,21675,5
Aruba + Mexico,21335,5
Aruba + Cuba,21145,5
Aruba + Costa Rica,22710,5
Aruba + Trinidad and Tobago,24995,5
Costa Rica + Venezuela,7120,5
Jamaica + Venezuela,3705,5
Trinidad and Tobago + Venezuela,9405,5
Bolivia + Venezuela,2905,5
El Salvador + Venezuela,3240,5
Antigua and Barbuda + Dominican Republic,13595,5
Antigua and Barbuda + Saint Lucia,14695,5
Antigua and Barbuda + Panama,17275,5
Antigua and Barbuda + Puerto Rico,32115,5
Dominican Republic + Israel,25805,5
Algeria + Dominican Republic,6060,5
Dominican Republic + Greece,14250,5
Dominican Republic + Portugal,15585,5
Dominican Republic + Poland,11895,5
Dominican Republic + Uruguay,12565,5
Dominican Republic + Haiti,4525,5
Dominican Republic + Jordan,6255,5
Bolivia + Dominican Republic,5840,5
Barbados + Dominican Republic,13315,5
Jamaica + Saint Lucia,7740,5
Czech Republic + South Korea,27935,5
Macau + South Korea,20640,5
Qatar + South Korea,281520,5
Maldives + South Korea,21250,5
Belarus + South Korea,19680,5
Israel + Serbia,25485,5
Israel + Lebanon,25955,5
Bangladesh + Indonesia,3000,5
Bangladesh + South Africa,3970,5
Bangladesh + Maldives,5950,5
Hungary + India,9760,5
Georgia + India,3275,5
India + Ukraine,2890,5
India + Moldova,3305,5
Bulgaria + India,5915,5
India + Malta,16540,5
Argentina + Greece,15140,5
Argentina + Ireland,43685,5
Argentina + Portugal,16475,5
Argentina + Paraguay,7900,5
Argentina + Denmark,35470,5
Argentina + Puerto Rico,27540,5
Latvia + Mexico,13825,5
Mexico + Puerto Rico,27200,5
Bolivia + Mexico,6390,5
Angola + Mexico,5960,5
Belarus + Mexico,7950,5
Costa Rica + Cuba,10415,5
Cuba + Greece,14610,5
Cuba + Ireland,43155,5
Cuba + Portugal,15945,5
Cuba + Poland,12255,5
Cuba + Denmark,34940,5
Cuba + Latvia,13635,5
Cuba + Trinidad and Tobago,12700,5
Cuba + El Salvador,6535,5
Belarus + Cuba,7760,5
Belize + Costa Rica,8195,5
Bulgaria + Serbia,8600,5
Algeria + Georgia,4210,5
Algeria + Ukraine,3825,5
Algeria + Qatar,267170,5
Algeria + Malta,17475,5
Greece + Tunisia,11880,5
Greece + Libya,13810,5
Greece + Lebanon,14400,5
Georgia + Hungary,10915,5
Hungary + Romania,15080,5
Ireland + South Africa,41655,5
Georgia + Ireland,40945,5
Angola + Ireland,40075,5
Libya + Portugal,15145,5
Moldova + Portugal,13765,5
Portugal + Romania,17900,5
Czech Republic + Tunisia,13285,5
Czech Republic + Jordan,13780,5
Czech Republic + Romania,17970,5
Czech Republic + Lebanon,15805,5
Denmark + Tunisia,32210,5
Lebanon + Tunisia,5910,5
Belarus + Tunisia,5030,5
Poland + Romania,14210,5
Poland + Qatar,273005,5
Lebanon + Poland,12045,5
Panama + Paraguay,10690,5
Belize + Panama,9950,5
Barbados + Panama,16995,5
Chile + Uruguay,17035,5
Chile + Paraguay,11480,5
Bolivia + Chile,10310,5
Belize + El Salvador,4315,5
Qatar + South Africa,268100,5
South Africa + Zimbabwe,3635,5
Mauritius + South Africa,8675,5
Maldives + South Africa,7830,5
Armenia + Georgia,4435,5
Georgia + Kazakhstan,6690,5
Georgia + Ukraine,4045,5
Georgia + Moldova,4460,5
Denmark + Romania,36895,5
Denmark + Lebanon,34730,5
Kazakhstan + Latvia,13685,5
Jordan + Latvia,11400,5
Latvia + Lebanon,13425,5
Puerto Rico + Trinidad and Tobago,30860,5
Belarus + Tajikistan,3815,5
Romania + Ukraine,8210,5
Bulgaria + Ukraine,6685,5
Lebanon + Ukraine,6045,5
Kuwait + Libya,20445,5
Lebanon + Libya,7840,5
Jordan + Malta,17670,5
Jordan + Lebanon,6405,5
Malta + Moldova,17725,5
Belarus + Romania,9715,5
Kuwait + Qatar,281995,5
Lebanon + Malta,19695,5
Angola + Congo (Brazzaville),2385,5
Congo (Brazzaville) + Congo (Kinshasa),1305,5
Zambia + Zimbabwe,1340,5
Belarus + Lebanon,7550,5
Colombia + Russia,8980,4
Philippines + Russia,7465,4
Russia + Venezuela,6925,4
Brunei + Russia,20680,4
Jamaica + Russia,8370,4
Mauritius + Russia,11545,4
Azerbaijan + Egypt,3740,4
Azerbaijan + Canada,24765,4
Azerbaijan + Thailand,5940,4
Azerbaijan + Japan,22110,4
Azerbaijan + Morocco,3610,4
Azerbaijan + Belgium,25045,4
Azerbaijan + South Korea,18345,4
Azerbaijan + India,3060,4
Azerbaijan + Mexico,6615,4
Azerbaijan + Malta,17480,4
Azerbaijan + Lebanon,6215,4
Hong Kong + Peru,27575,4
Japan + Peru,23550,4
Peru + Taiwan,17270,4
Guadeloupe + Peru,14790,4
Martinique + Peru,15550,4
Ireland + Peru,42170,4
Denmark + Peru,33955,4
Peru + Trinidad and Tobago,11715,4
Cote d'Ivoire + Niger,1495,4
Cote d'Ivoire + Liberia,1660,4
Cote d'Ivoire + Guinea,1750,4
Canada + Cote d'Ivoire,24090,4
Cote d'Ivoire + Germany,24520,4
Cote d'Ivoire + Portugal,12845,4
Burkina Faso + Niger,530,4
Burkina Faso + Liberia,695,4
Burkina Faso + Guinea,785,4
Burkina Faso + Canada,23125,4
Burkina Faso + Germany,23555,4
Burkina Faso + Portugal,11880,4
Egypt + Ghana,2830,4
Ghana + Norway,38335,4
Ghana + Saudi Arabia,12370,4
China + Ghana,6110,4
Ghana + Hong Kong,25225,4
Ghana + Japan,21200,4
Ghana + Turkey,5615,4
Ghana + South Korea,17435,4
Ghana + India,2150,4
Ghana + Greece,11275,4
Ghana + Ireland,39820,4
Ghana + Libya,4715,4
Ghana + Jordan,3280,4
Ghana + Lebanon,5305,4
Mali + Togo,805,4
Mali + Niger,620,4
Italy + Mali,17115,4
Mali + United Kingdom,22950,4
Mali + Spain,15450,4
Mali + United States,32820,4
Liberia + Mali,785,4
Mali + Sierra Leone,735,4
Gabon + Mali,4280,4
Mali + Mauritania,1090,4
Niger + Senegal,895,4
Egypt + Senegal,2465,4
Finland + Senegal,25680,4
Norway + Senegal,37970,4
Austria + Senegal,26285,4
Netherlands + Senegal,27305,4
Senegal + Turkey,5250,4
India + Senegal,1785,4
Senegal + Tunisia,2420,4
Jordan + Senegal,2915,4
Angola + Senegal,2070,4
Congo (Kinshasa) + Senegal,990,4
Lebanon + Senegal,4940,4
Gabon + Senegal,4555,4
Mauritania + Senegal,1365,4
Equatorial Guinea + Senegal,5655,4
Cape Verde + Senegal,2330,4
Benin + Italy,17100,4
Benin + United Kingdom,22935,4
Benin + Spain,15435,4
Benin + Liberia,770,4
Benin + Sierra Leone,720,4
Benin + Guinea,860,4
Benin + Congo (Kinshasa),700,4
Benin + Gabon,4265,4
France + Togo,20580,4
Nigeria + Togo,1445,4
Belgium + Togo,23400,4
France + Niger,20395,4
Morocco + Niger,1780,4
Belgium + Niger,23215,4
Algeria + Niger,2165,4
Colombia + Sweden,29425,4
Colombia + Finland,28140,4
Colombia + Norway,40430,4
Colombia + Hong Kong,27320,4
Colombia + Japan,23295,4
Colombia + Taiwan,17015,4
Austria + Colombia,28745,4
Bahamas + Colombia,18705,4
Antigua and Barbuda + Colombia,12715,4
Colombia + Israel,24925,4
Algeria + Colombia,5180,4
Colombia + Greece,13370,4
Colombia + Portugal,14705,4
Colombia + Poland,11015,4
Colombia + Nicaragua,4170,4
Colombia + Paraguay,6130,4
Belize + Colombia,5390,4
Colombia + Haiti,3645,4
Colombia + Jordan,5375,4
Barbados + Colombia,12435,4
Ecuador + Spain,18040,4
Ecuador + Germany,26235,4
Ecuador + Netherlands,29620,4
Dominican Republic + Ecuador,7105,4
Ecuador + Honduras,4250,4
Bolivia + Ecuador,4815,4
Italy + Liberia,17000,4
Italy + Sierra Leone,16950,4
Cameroon + Italy,17470,4
Burma + Italy,17360,4
Bahamas + Italy,32185,4
Aruba + Italy,33385,4
Guadeloupe + Italy,28015,4
Italy + Oman,24410,4
Costa Rica + Italy,22655,4
Brunei + Italy,31550,4
Armenia + Italy,18885,4
Italy + Puerto Rico,39250,4
Bahrain + Italy,27755,4
Italy + Uganda,17035,4
Barbados + Italy,25915,4
El Salvador + Italy,18775,4
Ethiopia + Italy,17070,4
Switzerland + Vietnam,42325,4
Antigua and Barbuda + Switzerland,50520,4
Jamaica + Switzerland,43565,4
Switzerland + Trinidad and Tobago,49265,4
Switzerland + Tajikistan,41470,4
Iran + Switzerland,43690,4
Bahrain + Switzerland,52080,4
Barbados + Switzerland,50240,4
France + Gambia,20455,4
France + Saint Lucia,25390,4
France + Guatemala,22475,4
France + Tanzania,20775,4
France + Macau,24520,4
France + Paraguay,23170,4
Armenia + France,22445,4
France + Iran,22925,4
France + Uganda,20595,4
Ethiopia + France,20630,4
France + Zimbabwe,20935,4
France + Mauritania,20865,4
Sierra Leone + United Kingdom,22785,4
Cameroon + United Kingdom,23305,4
Cambodia + United Kingdom,23310,4
Guadeloupe + United Kingdom,33850,4
Martinique + United Kingdom,34610,4
Nepal + United Kingdom,23015,4
Tanzania + United Kingdom,23050,4
Iran + United Kingdom,25200,4
El Salvador + United Kingdom,24610,4
Grenada + United Kingdom,27280,4
Jersey + United Kingdom,49675,4
Ethiopia + United Kingdom,22905,4
Rwanda + United Kingdom,22880,4
United Kingdom + Zimbabwe,23210,4
Cameroon + Spain,15805,4
Australia + Spain,42450,4
Spain + Vietnam,16335,4
Bahamas + Spain,30520,4
Aruba + Spain,31720,4
Guadeloupe + Spain,26350,4
Guatemala + Spain,17250,4
Spain + Trinidad and Tobago,23275,4
Iran + Spain,17700,4
Puerto Rico + Spain,37585,4
Barbados + Spain,24250,4
Mauritius + Spain,20750,4
Maldives + Spain,19905,4
Brazil + Cyprus,16130,4
Cyprus + Tunisia,13530,4
